total_fat,vitamin_a,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,protein,carbohydrate,fiber,sugars,calories
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.26,91.27,0.9,0.0,381
72.0,56.0,0.0,0.21,1.1,0.0,1.4,9.17,13.86,9.6,3.97,691
0.2,23.0,0.0,0.084,2.2,0.0,0.3,0.98,5.88,3.0,3.53,25
2.4,9.0,0.0,0.482,0.0,0.0,0.08,13.3,73.13,8.0,1.84,367
2.0,46.0,0.13,0.023,2.3,0.0,0.01,1.1,30.4,1.3,24.32,144
0.3,0.0,0.0,0.184,48.2,0.0,0.08,1.92,4.97,2.0,1.91,25
0.7,4825.0,0.0,0.146,52.0,0.0,2.02,4.98,6.7,3.7,3.01,42
23.0,0.0,2.31,0.13,0.0,2.0,0.2,16.56,0.0,0.0,0.0,282
24.0,820.0,1.3,0.227,0.0,18.0,0.21,19.8,0.46,0.0,0.46,300
18.0,0.0,4.2,1.5,0.0,0.0,3.45,23.0,9.0,6.1,0.8,290
0.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,3.1,6.25,25
0.4,26822.0,0.0,0.0,48.4,0.0,0.0,14.26,77.06,13.0,45.61,349
0.1,692.0,0.0,0.015,15.2,0.0,0.21,0.11,13.12,0.3,12.45,51
7.2,41.0,0.18,0.047,0.0,0.0,0.0,13.5,72.3,0.0,0.0,407
15.0,100.0,0.47,0.01,0.0,8.0,0.27,19.4,0.2,0.0,0.0,215
4.5,57.0,0.47,0.53,7.2,0.0,0.0,21.76,0.0,0.0,0.0,134
16.0,32.0,0.08,0.03,0.0,0.0,0.0,3.0,42.6,2.6,0.0,316
0.4,1078.0,0.0,0.419,118.6,0.0,3.58,0.91,6.5,2.8,4.12,29
0.9,0.0,0.0,0.075,0.0,0.0,0.0,11.6,28.1,0.0,0.0,148
9.2,6.0,0.99,0.427,0.0,24.0,0.24,19.2,1.55,0.1,1.12,172
0.5,67.0,0.0,0.0,6.5,0.0,0.0,0.81,13.93,3.9,0.0,57
1.7,558.0,0.0,0.328,15.0,0.0,0.0,4.32,37.6,0.0,0.0,182
5.9,5130.0,0.0,1.81,50.0,0.0,0.0,6.73,68.73,45.7,0.0,272
33.0,6.0,0.0,0.491,0.0,0.0,0.16,11.6,50.3,7.7,31.17,516
15.0,552.0,0.92,0.045,0.0,11.0,0.27,7.85,8.13,0.0,5.82,201
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,6.25,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.38,0.0,59.92,270
3.0,0.0,4.94,0.509,0.0,0.0,0.2,21.67,0.0,0.0,0.0,119
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.8,2.4,0.0,268
68.0,29.0,0.0,0.094,0.8,0.0,9.33,13.69,13.08,3.7,3.59,673
1.5,0.0,0.0,0.142,0.0,0.0,0.11,13.04,74.67,3.2,2.67,371
0.2,2850.0,0.0,0.0,15.7,0.0,0.0,1.03,4.3,1.6,2.24,20
11.0,3.0,0.19,0.074,0.0,0.0,0.45,7.05,70.54,3.5,21.16,406
0.8,1720.0,0.0,0.074,29.6,0.0,0.5,1.2,4.67,2.6,0.88,30
16.0,2.0,0.0,0.18,5.6,0.0,2.14,2.48,28.56,2.8,0.54,271
0.2,37.0,0.0,0.055,4.0,0.0,0.23,0.52,16.23,6.6,2.58,68
0.5,0.0,6.92,0.676,0.0,0.0,0.17,23.08,0.0,0.0,0.0,103
50.0,0.0,0.0,0.684,15.5,0.0,0.0,6.2,33.5,0.0,0.0,576
0.3,73.0,0.0,0.296,4.7,0.0,0.11,4.08,74.08,6.8,67.28,283
0.6,45.0,0.0,0.19,16.5,0.0,0.0,8.96,22.14,0.0,0.0,106
3.0,0.0,0.7,0.1,7.0,0.0,0.0,9.0,67.64,6.0,0.0,322
16.0,27.0,0.08,0.03,1.3,0.0,1.72,3.0,42.6,2.6,21.4,316
3.1,72.0,0.0,0.181,0.0,0.0,0.29,9.7,80.1,2.9,0.72,384
11.0,97.0,0.51,0.116,0.6,2.0,0.29,13.16,58.84,7.9,26.32,383
2.4,100.0,2.0,0.3,0.0,0.0,0.0,20.21,0.0,0.0,0.0,108
0.0,0.0,0.0,0.01,33.8,0.0,0.09,0.0,11.86,0.1,7.28,47
0.3,754.0,0.0,0.219,85.0,0.0,0.88,3.38,8.95,3.8,2.2,43
0.5,4533.0,0.0,0.22,37.0,0.0,2.53,3.83,3.12,2.8,0.62,33
99.0,3069.0,0.01,0.001,0.0,0.0,2.8,0.28,0.0,0.0,0.0,876
0.1,29.0,0.0,0.042,2.8,0.0,0.0,0.9,4.0,3.1,0.0,17
5.3,0.0,0.0,0.03,0.0,0.0,0.05,6.5,87.7,1.8,31.6,424
5.3,0.0,0.0,0.03,0.0,0.0,0.05,6.5,87.7,1.8,31.6,424
0.4,16000.0,0.0,0.159,93.2,0.0,0.0,2.98,5.06,2.3,1.48,28
5.3,44.0,0.0,0.316,19.7,0.0,0.0,1.47,27.09,3.8,0.0,147
0.2,1496.0,0.0,0.06,16.0,0.0,0.0,1.16,3.18,0.9,0.0,16
0.3,0.0,0.0,0.056,9.0,0.0,0.0,0.98,2.98,0.7,0.0,15
6.4,217.0,1.17,0.216,0.4,0.0,0.0,6.9,82.8,0.0,0.0,410
22.0,0.0,0.0,0.304,0.0,0.0,0.0,33.8,31.27,15.8,0.0,428
1.0,80.0,1.6,0.4,0.0,34.0,0.55,25.23,0.0,0.0,0.0,116
14.0,0.0,0.0,0.22,1.6,0.0,0.98,3.41,35.2,3.5,0.85,282
10.0,79.0,1.34,0.633,0.0,8.0,0.11,27.37,0.0,0.0,0.0,203
17.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,72.9,1.4,31.5,461
14.0,0.0,0.0,0.387,3.8,0.0,2.0,3.73,39.73,4.0,0.4,301
4.3,0.0,0.0,0.153,0.2,0.0,0.24,12.96,55.77,4.7,6.42,313
22.0,128.0,0.2,0.04,0.1,2.0,0.35,8.0,37.2,1.0,6.95,374
36.0,0.0,0.0,0.0,0.0,0.0,0.0,8.28,47.59,3.6,32.14,500
0.7,0.0,0.0,1.654,1.2,0.0,0.67,16.55,72.73,9.0,2.43,331
100.0,0.0,0.0,0.0,0.0,0.0,8.18,0.0,0.0,0.0,0.0,763
27.0,1442.0,1.95,0.35,0.0,218.0,2.58,15.86,3.59,0.0,0.56,322
2.8,3598.0,0.0,0.632,2.2,0.0,0.0,4.71,19.22,10.6,0.0,103
5.8,42.0,1.87,0.221,0.3,4.0,0.12,21.8,0.36,0.0,0.1,147
14.0,0.0,2.35,0.078,0.0,0.0,1.92,19.61,7.7,3.9,0.0,233
0.7,0.0,6.12,0.582,0.0,0.0,0.22,22.25,0.0,0.0,0.0,102
1.5,17.0,2.26,0.626,0.0,0.0,0.22,22.22,0.0,0.0,0.0,108
11.0,416.0,0.29,0.055,0.7,8.0,0.3,3.8,28.2,1.2,25.36,216
34.0,0.0,0.0,0.32,47.3,0.0,9.11,6.7,53.3,3.4,0.22,522
0.2,550.0,0.0,0.149,4.0,0.0,0.0,1.5,7.0,1.4,0.0,36
0.9,10.0,0.0,0.106,1.2,0.0,0.35,3.3,63.87,9.8,47.92,249
4.6,0.0,3.0,0.38,1.0,0.0,0.0,21.39,0.0,0.0,0.0,133
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.1,0.0,65.0,261
0.4,400.0,0.0,0.159,93.2,0.0,0.0,2.98,5.24,0.0,0.0,28
19.0,447.0,0.21,0.041,0.9,0.0,0.38,2.44,4.63,0.0,3.41,198
